               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072366,            0.044232,            0.037071,              0.3073,             0.28835,             0.21273,             0.10393,            0.047908,             0.02085,            0.033619,            0.070226,           0.0033083,           0.0033083
                   1,            0.052884,            0.036589,            0.017057,             0.39391,             0.58169,              0.4713,             0.26325,            0.040445,            0.018936,            0.016044,            0.040219,            0.006635,            0.006635
                   2,            0.050741,             0.03414,            0.010943,             0.49622,              0.6176,             0.54479,             0.31961,            0.041925,            0.019115,            0.011394,            0.010206,           0.0099552,           0.0099552
                   3,            0.045068,            0.034019,            0.007396,             0.61676,             0.66724,             0.66965,             0.39598,            0.037526,            0.019737,           0.0071722,           0.0099703,           0.0099703,           0.0099703
                   4,            0.041359,            0.033172,           0.0059484,             0.64042,             0.56896,             0.62123,             0.38009,            0.036114,            0.019712,           0.0059367,           0.0099703,           0.0099703,           0.0099703
                   5,            0.039489,            0.033115,           0.0051296,              0.6719,             0.66838,             0.71197,             0.46171,            0.034101,              0.0192,            0.004976,           0.0099604,           0.0099604,           0.0099604
                   6,            0.037857,            0.032007,           0.0045879,             0.71758,             0.73213,             0.77836,             0.51362,            0.032263,            0.017913,           0.0036664,           0.0099505,           0.0099505,           0.0099505
                   7,            0.037366,            0.032552,           0.0043618,             0.70784,              0.7663,             0.78243,             0.51215,            0.030849,            0.017906,           0.0031515,           0.0099406,           0.0099406,           0.0099406
                   8,            0.035438,            0.031128,           0.0040556,             0.74662,             0.72091,             0.77803,              0.5323,            0.031101,            0.017482,            0.003464,           0.0099307,           0.0099307,           0.0099307
                   9,            0.034825,             0.03075,           0.0035926,             0.72319,             0.76484,             0.78864,             0.55422,             0.02893,            0.017467,           0.0027215,           0.0099208,           0.0099208,           0.0099208
                  10,             0.03444,            0.030839,           0.0033431,             0.76992,               0.767,             0.80854,             0.57419,            0.028751,            0.016733,           0.0025999,           0.0099109,           0.0099109,           0.0099109
                  11,            0.034351,            0.030746,           0.0035082,             0.74787,             0.73861,             0.78814,             0.56166,             0.02949,            0.016999,           0.0043586,            0.009901,            0.009901,            0.009901
                  12,            0.033207,            0.029885,           0.0035162,             0.76599,             0.78853,             0.84065,             0.60075,            0.027611,            0.016472,           0.0021789,           0.0098911,           0.0098911,           0.0098911
